reviews::target
Simple, varié et bon::1
Repas très bien et ambiance sympa::1
Service horrible ::0
Bon cadre, nourriture bonne, jeune serveur aimable et poli::1
Décevant ::0
Fausse bonne idée::0
Cadre sympa pour repas d’affaires::1
Excellent, je recommande::1
Belle salle::1
cadre agréable::1
bon restaurant::1
Bon restaurant ::1
Restaurant d Affaires bon et rapide::1
Excellent::1
Bonne carte service agréable::1
Convivial et accueillant::1
Pas terrible...::0
Sympa mais très long ::1
Brasserie de qualité plus plus ...::1
Brasserie::0
Une bonne adresse::1
bonne table pour le midi::None
Rien à dire le midi::None
toujours bien::None
Tres bien::None
Pas de scoop dans l' assiette::None
A oublier.......::None
Restaurant excellent::None
A refaire::None
Efficace ::None
bon restaurant le midi::None
Plus jamais d autre::None
Très bien::None
Cuisine agréable Mais service à revoir ::None
Belle escale pour motards!::None
Agréable::None
Sympathique::None
Accueil et cadre agréable::None
Le café vite arrêt::None
Incontournable::None
Nous avons déjeuné à la vieille::None
cuisine maison::None
Bonne degustation::None
Déjeuner agréable ::None
Incontournable ::None
incontournable pour une découverte des produits du terroir à St Jean de Luz::None
une cuisine sans prétention::None
Des spécialités délicieuses ::None
Superbe Restaurant::None
Incontournable::None
Notre meilleure restaurant de vacances::None
une bonne adresse, à recommander ::None
décevant !!::0
Bonne table .::None
Bonne decouverte::None
Incontournable ::None
Excellente adresse ::None
Super soirée en famille!::None
Bonne::None
Une cuisine local::None
Un restaurant à ne pas rater::None
La vieille auberge::None
INCONTOURNABLE !!! ::None
Super ::None
Formidable !::None
La Bonne Auberge::None
A refaire::None
Quelle gentillesse ::None
Bof bof::0
Repas du dimanche entre amis::None
Une excellente adresse::None
Très bon accueil ::None
Menu gourmand::None
Parfait !::None
Diner::None
Superbe auberge ::None
Excellent accueil une équipe::None
Excellent::None
Bon dîner en famille ::None
Réservation impérative::None
Attente interminable::0
Toujours très bien ::None
Excellent😉::None
Bon accueil et bonne ambiance::None
Efficace et bons ::None
Bonne ambiance, bon accueil,::None
carte avec menus de cuisine  très locale... et super cuisinée en saveurs::None
Super !!!::None
Excellent::None
Sourire, ambiance, efficace mais ...::None
Très bien::None
Une bonne surprise::None
Sans saveur::None
Très bon::None
Excellent restaurant::None
De passage à Saint Jean de luz ::None
Pour les grosses faims::None
Excellent restaurant::None
Parfait::None
déjeuner du 13 octobre 2019::None
sympa::None
Une institution::None
Soirée du 9 octobre2019::None
Excellent déjeuner::None
Ravies !::None
A ne pas rater .::None
Excellente adresse::None
À ne pas rater::None
Exécrables : leur accès handicapés n'en est pas un. Mais pas que...::None
On a été déçu.::None
Accueil sympa et très bon repas::None
Excellente adresse::None
Belle découverte::None
ADRESSE A RETENIR TOUT EST TRES BIEN::None
INCONTOURNABLE::None
Très bonne auberge::None
Très bonne adresse !::None
au top::None
Sympas ::None
Une belle redecouverte::None
Envie de poisson::None
À découvrir absolument ::None
Excellent::None
Inégale...::None
Excellent !!!::None
Délicieux repas ! ::None
Un accueil convivial, une très belle adresse::None
Bon resto, ambiance sympa::None
Belle surprise ::None
Une belle découverte ::None
es bonne adesse::None
Très bonne adresse::None
10/5 pour ce resto ! ::None
5/5 dans leur catégorie !::None
Très bon restaurant::None
Une belle soirée::None
Génial ::None
Dîner d'anniversaire de mariage ::None
Bon rapport qualité prix::None
A recommandé sans hésitation super ambiance très serviable paella excellente poêlée de chipirons ::None
Très bonne soirée ::None
Excellent::None
Le meilleur de toute ma vie...::None
Délicieux ::None
Une très bonne adresse !!::None
Une merveille ::None
Resto moyen::None
Sympa ::None
EXCELLENT::None
Resto très bon et très bon accueil ::None
La Vieille Auberge, un super endroit!::None
Presque trop efficace :-)::None
Sans hésitation!::None
Excellent::None
Parfait::None
Parfait ::None
Une très bonne adresse pour un bon moment::None
Succulent ::None
Excellent moment en famille::None
Un très bon moment::None
Restaurant sympa::None
Super rapport qualité prix::None
Parfait !::None
A revoir ::None
Bonne découverte::None
Vacances::None
Bonne adresse::None
Un sans faute !::None
Excellent !::None
Au TOP::None
Excellente table avec service très sympa et efficace::None
Super ::None
Restaurant excellent et tout fait maison! ::None
Bonne cuisine et accueil au top. Super rapport qualité/prix::None
Tres bon repas::None
Belle adresse::None
Restaurant bon rapport qualité prix::None
Excellent resto ::None
Belle decouverte::None
Bon petit restaurant::None
Excellent::None
Restau de fin ::None
Restaurant au top::None
Au top::None
à recommander::None
Très bien::None
À faire::None
Bon resto à spécialitées::None
Bon restaurant touristique::None
Un bon menu::None
Authentique et frais ::None
Très bon restaurant::None
Bonne prestation ::None
tres bien ::None
Excellent ::None
Super bon::None
Ne changez rien::None
Excellente adresse! ::None
Très bon::None
Excellent ::None
Très bien ::None
